Replacement,Original
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december
site,sight
spec,speck
console,consul
discrete,discreet
dict,dick
Jupyter,Jupiter
jupyter,jupiter
guess,guests
key,ki
sync,sink
syncing,sinking
syncs,sinks
max,mac's
talon,talent
you is,UIs
tracked,tract
boolean,bullion
mech,mac
add,ad
kernel,colonel
